hull,station_id,waterline_id,x_over_L,z_over_T,y_over_B2
Prismatic_NPC,9,6,0.450000,0.600000,0.734282
Prismatic_NPC,9,7,0.450000,0.700000,0.655477
Prismatic_NPC,9,8,0.450000,0.800000,0.550711
Prismatic_NPC,9,9,0.450000,0.900000,0.400082
Prismatic_NPC,9,10,0.450000,1.000000,0.000000
Prismatic_NPC,10,0,0.500000,0.000000,0.917852
Prismatic_NPC,10,1,0.500000,0.100000,0.913251
Prismatic_NPC,10,2,0.500000,0.200000,0.899308
Prismatic_NPC,10,3,0.500000,0.300000,0.875575
Prismatic_NPC,10,4,0.500000,0.400000,0.841225
Prismatic_NPC,10,5,0.500000,0.500000,0.794883
Prismatic_NPC,10,6,0.500000,0.600000,0.734282
Prismatic_NPC,10,7,0.500000,0.700000,0.655477
Prismatic_NPC,10,8,0.500000,0.800000,0.550711
Prismatic_NPC,10,9,0.500000,0.900000,0.400082
Prismatic_NPC,10,10,0.500000,1.000000,0.000000
Prismatic_NPC,11,0,0.550000,0.000000,0.917852
Prismatic_NPC,11,1,0.550000,0.100000,0.913251
Prismatic_NPC,11,2,0.550000,0.200000,0.899308
Prismatic_NPC,11,3,0.550000,0.300000,0.875575
Prismatic_NPC,11,4,0.550000,0.400000,0.841225
Prismatic_NPC,11,5,0.550000,0.500000,0.794883
Prismatic_NPC,11,6,0.550000,0.600000,0.734282
Prismatic_NPC,11,7,0.550000,0.700000,0.655477
Prismatic_NPC,11,8,0.550000,0.800000,0.550711
Prismatic_NPC,11,9,0.550000,0.900000,0.400082
Prismatic_NPC,11,10,0.550000,1.000000,0.000000
Prismatic_NPC,12,0,0.600000,0.000000,0.917852
Prismatic_NPC,12,1,0.600000,0.100000,0.913251
Prismatic_NPC,12,2,0.600000,0.200000,0.899308
Prismatic_NPC,12,3,0.600000,0.300000,0.875575
Prismatic_NPC,12,4,0.600000,0.400000,0.841225
Prismatic_NPC,12,5,0.600000,0.500000,0.794883
Prismatic_NPC,12,6,0.600000,0.600000,0.734282
Prismatic_NPC,12,7,0.600000,0.700000,0.655477
Prismatic_NPC,12,8,0.600000,0.800000,0.550711
Prismatic_NPC,12,9,0.600000,0.900000,0.400082
Prismatic_NPC,12,10,0.600000,1.000000,0.000000
Prismatic_NPC,13,0,0.650000,0.000000,0.917852
Prismatic_NPC,13,1,0.650000,0.100000,0.913251
Prismatic_NPC,13,2,0.650000,0.200000,0.899308
Prismatic_NPC,13,3,0.650000,0.300000,0.875575
Prismatic_NPC,13,4,0.650000,0.400000,0.841225
Prismatic_NPC,13,5,0.650000,0.500000,0.794883
Prismatic_NPC,13,6,0.650000,0.600000,0.734282
Prismatic_NPC,13,7,0.650000,0.700000,0.655477
Prismatic_NPC,13,8,0.650000,0.800000,0.550711
Prismatic_NPC,13,9,0.650000,0.900000,0.400082
Prismatic_NPC,13,10,0.650000,1.000000,0.000000
Prismatic_NPC,14,0,0.700000,0.000000,0.917852
Prismatic_NPC,14,1,0.700000,0.100000,0.913251
Prismatic_NPC,14,2,0.700000,0.200000,0.899308
Prismatic_NPC,14,3,0.700000,0.300000,0.875575
Prismatic_NPC,14,4,0.700000,0.400000,0.841225
Prismatic_NPC,14,5,0.700000,0.500000,0.794883
Prismatic_NPC,14,6,0.700000,0.600000,0.734282
Prismatic_NPC,14,7,0.700000,0.700000,0.655477
Prismatic_NPC,14,8,0.700000,0.800000,0.550711
Prismatic_NPC,14,9,0.700000,0.900000,0.400082
Prismatic_NPC,14,10,0.700000,1.000000,0.000000
Prismatic_NPC,15,0,0.750000,0.000000,0.917852
Prismatic_NPC,15,1,0.750000,0.100000,0.913251
Prismatic_NPC,15,2,0.750000,0.200000,0.899308
Prismatic_NPC,15,3,0.750000,0.300000,0.875575
Prismatic_NPC,15,4,0.750000,0.400000,0.841225
Prismatic_NPC,15,5,0.750000,0.500000,0.794883
Prismatic_NPC,15,6,0.750000,0.600000,0.734282
Prismatic_NPC,15,7,0.750000,0.700000,0.655477
Prismatic_NPC,15,8,0.750000,0.800000,0.550711
Prismatic_NPC,15,9,0.750000,0.900000,0.400082
Prismatic_NPC,15,10,0.750000,1.000000,0.000000
Prismatic_NPC,16,0,0.800000,0.000000,0.917852
Prismatic_NPC,16,1,0.800000,0.100000,0.913251
Prismatic_NPC,16,2,0.800000,0.200000,0.899308
Prismatic_NPC,16,3,0.800000,0.300000,0.875575
Prismatic_NPC,16,4,0.800000,0.400000,0.841225
Prismatic_NPC,16,5,0.800000,0.500000,0.794883
Prismatic_NPC,16,6,0.800000,0.600000,0.734282
Prismatic_NPC,16,7,0.800000,0.700000,0.655477
Prismatic_NPC,16,8,0.800000,0.800000,0.550711
Prismatic_NPC,16,9,0.800000,0.900000,0.400082
Prismatic_NPC,16,10,0.800000,1.000000,0.000000
Prismatic_NPC,17,0,0.850000,0.000000,0.847985
Prismatic_NPC,17,1,0.850000,0.100000,0.843734
Prismatic_NPC,17,2,0.850000,0.200000,0.830852
Prismatic_NPC,17,3,0.850000,0.300000,0.808926
Prismatic_NPC,17,4,0.850000,0.400000,0.777191
Prismatic_NPC,17,5,0.850000,0.500000,0.734376
Prismatic_NPC,17,6,0.850000,0.600000,0.678388
Prismatic_NPC,17,7,0.850000,0.700000,0.605582
Prismatic_NPC,17,8,0.850000,0.800000,0.508791
Prismatic_NPC,17,9,0.850000,0.900000,0.369628
Prismatic_NPC,17,10,0.850000,1.000000,0.000000
Prismatic_NPC,18,0,0.900000,0.000000,0.649019
Prismatic_NPC,18,1,0.900000,0.100000,0.645766
Prismatic_NPC,18,2,0.900000,0.200000,0.635906
Prismatic_NPC,18,3,0.900000,0.300000,0.619125
Prismatic_NPC,18,4,0.900000,0.400000,0.594836
Prismatic_NPC,18,5,0.900000,0.500000,0.562067
Prismatic_NPC,18,6,0.900000,0.600000,0.519215
Prismatic_NPC,18,7,0.900000,0.700000,0.463493
Prismatic_NPC,18,8,0.900000,0.800000,0.389412
Prismatic_NPC,18,9,0.900000,0.900000,0.282901
Prismatic_NPC,18,10,0.900000,1.000000,0.000000
Prismatic_NPC,19,0,0.950000,0.000000,0.351247
Prismatic_NPC,19,1,0.950000,0.100000,0.349486
Prismatic_NPC,19,2,0.950000,0.200000,0.344150
Prismatic_NPC,19,3,0.950000,0.300000,0.335068
Prismatic_NPC,19,4,0.950000,0.400000,0.321923
Prismatic_NPC,19,5,0.950000,0.500000,0.304189
Prismatic_NPC,19,6,0.950000,0.600000,0.280997
Prismatic_NPC,19,7,0.950000,0.700000,0.250840
Prismatic_NPC,19,8,0.950000,0.800000,0.210748
Prismatic_NPC,19,9,0.950000,0.900000,0.153105
Prismatic_NPC,19,10,0.950000,1.000000,0.000000
Prismatic_NPC,20,0,1.000000,0.000000,0.000000
Prismatic_NPC,20,1,1.000000,0.100000,0.000000
Prismatic_NPC,20,2,1.000000,0.200000,0.000000
Prismatic_NPC,20,3,1.000000,0.300000,0.000000
Prismatic_NPC,20,4,1.000000,0.400000,0.000000
Prismatic_NPC,20,5,1.000000,0.500000,0.000000
Prismatic_NPC,20,6,1.000000,0.600000,0.000000
Prismatic_NPC,20,7,1.000000,0.700000,0.000000
Prismatic_NPC,20,8,1.000000,0.800000,0.000000
Prismatic_NPC,20,9,1.000000,0.900000,0.000000
Prismatic_NPC,20,10,1.000000,1.000000,0.000000
