VesselID,VesselType,Lpp_m,Beam_m,Draft_m,Depth_m,Displacement_t,CB,CP,CM,CW,ServiceSpeed_ms,DWT_t,EngineType,YearBuilt,Source,DataQuality,HullGeometryFile,ResistanceCurve
FER_0057,Ferry,158.91,31.77,5.69,9.28,20579.6,0.796,0.804,0.923,0.706,10.883,3079.0,Diesel-electric,1990,Open dataset,Design spec,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [864343, 967241, 1070139, 1173037, 1275935, 1378833, 1481731]}"
RO-_0058,RO-RO,125.03,31.51,5.22,15.45,13548.4,0.732,0.787,0.908,0.812,9.736,58887.0,Diesel,2001,DSYHS (Delft),Measured,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [569032, 636774, 704516, 772258, 840000, 907742, 975484]}"
NAV_0059,Naval combatant,185.67,20.74,6.64,13.26,14566.8,0.633,0.677,0.911,0.81,13.655,8103.0,Gas Turbine,1986,MARIN paper,Calculated from geometry,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [611805, 684639, 757473, 830307, 903141, 975975, 1048809]}"
NAV_0060,Naval combatant,183.76,20.59,6.28,11.17,15760.8,0.737,0.786,0.981,0.611,13.213,10205.0,Diesel-electric,1988,Open dataset,Model tests,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [661953, 740757, 819561, 898365, 977169, 1055973, 1134777]}"
BUL_0061,Bulk carrier,279.68,51.08,9.61,13.66,70429.2,0.57,0.524,0.899,0.618,6.066,177967.0,Hybrid,1985,SIMMAN,Measured,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [2958026, 3310172, 3662318, 4014464, 4366610, 4718756, 5070902]}"
TAN_0062,Tanker,182.02,49.26,14.5,27.08,75939.7,0.649,0.675,0.885,0.804,6.563,303409.0,Nuclear,2021,Public spec,Measured,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [3189467, 3569165, 3948864, 4328562, 4708261, 5087959, 5467658]}"
BUL_0063,Bulk carrier,212.76,34.24,17.4,24.06,70730.6,0.62,0.603,0.977,0.664,6.134,198451.0,Nuclear,1985,MARIN paper,Estimated,STL,
FER_0064,Ferry,198.9,17.68,7.88,9.27,13966.1,0.56,0.584,0.953,0.838,6.476,4890.0,Gas Turbine,2001,DSYHS (Delft),Measured,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [586576, 656406, 726237, 796067, 865898, 935728, 1005559]}"
CRU_0065,Cruise ship,283.69,46.84,8.69,30.81,74203.0,0.714,0.773,0.944,0.889,10.59,12723.0,Diesel,1998,MARIN paper,Estimated,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [3116526, 3487541, 3858555, 4229571, 4600585, 4971601, 5342616]}"
BUL_0066,Bulk carrier,311.02,33.36,14.65,14.42,104654.0,0.765,0.829,0.905,0.761,5.845,74172.0,Nuclear,2022,Public spec,Estimated,Mesh available (OBJ),
OFF_0067,Offshore supply,117.4,13.97,6.87,9.3,7504.0,0.74,0.817,0.995,0.857,6.273,4785.0,Gas Turbine,1970,MARIN paper,Model tests,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [315168, 352688, 390207, 427728, 465247, 502768, 540288]}"
NAV_0068,Naval combatant,164.01,18.72,7.51,16.22,17141.1,0.826,0.79,0.885,0.608,17.41,9298.0,Diesel-electric,2009,Open dataset,Model tests,IGES,
FER_0069,Ferry,147.39,13.03,2.75,4.3,4030.7,0.848,0.813,0.885,0.772,8.573,3030.0,Electric,2017,MARIN paper,Calculated from geometry,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [169289, 189442, 209596, 229749, 249903, 270056, 290210]}"
TAN_0070,Tanker,352.5,51.44,22.17,25.39,298846.6,0.826,0.812,0.954,0.67,6.517,113889.0,Diesel,1993,Open dataset,Estimated,STL,
NAV_0071,Naval combatant,96.66,14.76,9.81,17.49,9825.2,0.78,0.742,0.882,0.805,17.857,2657.0,Diesel-electric,1991,DSYHS (Delft),Measured,Parametric (NURBS),
BUL_0072,Bulk carrier,294.26,44.05,17.38,27.89,110095.4,0.543,0.594,0.968,0.791,5.858,393770.0,Hybrid,1978,Public spec,Design spec,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [4624006, 5174483, 5724960, 6275437, 6825914, 7376391, 7926868]}"
CON_0073,Container,139.54,33.05,14.1,25.54,26686.8,0.456,0.44,0.869,0.735,8.757,22076.0,Gas Turbine,1998,MARIN paper,Measured,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1120845, 1254279, 1387713, 1521147, 1654581, 1788015, 1921449]}"
OFF_0074,Offshore supply,85.27,25.24,3.17,8.92,4893.8,0.797,0.815,0.919,0.908,5.332,2978.0,Nuclear,1995,Open dataset,Model tests,IGES,
OFF_0075,Offshore supply,55.14,13.13,5.43,5.33,1981.4,0.56,0.592,0.932,0.704,8.215,3277.0,Hybrid,1999,MARIN paper,Calculated from geometry,Mesh available (OBJ),
BUL_0076,Bulk carrier,299.09,48.59,20.3,25.86,142315.5,0.536,0.545,0.884,0.708,6.311,172235.0,Gas Turbine,1976,SIMMAN,Estimated,None,
NAV_0077,Naval combatant,194.9,18.87,6.85,8.91,10973.9,0.484,0.49,0.962,0.719,13.53,2779.0,Hybrid,2005,Public spec,Model tests,IGES,
NAV_0078,Naval combatant,186.1,21.41,6.54,17.16,11046.0,0.471,0.458,0.897,0.633,15.471,4011.0,Diesel-electric,2000,ShipD (MIT),Estimated,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [463931, 519162, 574392, 629622, 684851, 740082, 795312]}"
NAV_0079,Naval combatant,102.64,14.79,5.36,12.29,4935.7,0.674,0.724,0.943,0.816,15.725,9916.0,Electric,2012,Public spec,Model tests,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [207299, 231977, 256656, 281334, 306013, 330691, 355370]}"
FER_0080,Ferry,155.4,18.03,4.37,4.05,8793.7,0.798,0.822,0.91,0.645,10.082,342.0,Hybrid,2017,DSYHS (Delft),Calculated from geometry,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [369335, 413303, 457272, 501240, 545209, 589177, 633146]}"
OFF_0081,Offshore supply,73.86,17.18,5.89,8.88,4553.9,0.677,0.638,0.858,0.65,7.051,4109.0,Nuclear,1987,Open dataset,Calculated from geometry,IGES,
OTH_0082,Other,143.77,17.29,15.47,6.07,21527.1,0.622,0.609,0.952,0.756,8.234,4589.0,Hybrid,1995,ShipD (MIT),Model tests,Parametric (NURBS),
FER_0083,Ferry,191.8,29.95,6.7,6.32,17250.1,0.498,0.513,0.915,0.641,9.461,1917.0,Electric,2005,Public spec,Model tests,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [724504, 810754, 897005, 983255, 1069506, 1155756, 1242007]}"
CON_0084,Container,230.87,37.31,7.7,19.2,37129.3,0.622,0.625,0.946,0.693,10.106,193577.0,Hybrid,1980,SIMMAN,Estimated,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1559430, 1745077, 1930723, 2116370, 2302016, 2487663, 2673309]}"
RO-_0085,RO-RO,216.67,20.87,7.94,13.24,19646.6,0.608,0.598,0.901,0.707,7.721,31608.0,Hybrid,1977,MARIN paper,Design spec,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [825157, 923390, 1021623, 1119856, 1218089, 1316322, 1414555]}"
NAV_0086,Naval combatant,170.01,20.19,8.89,10.36,13978.9,0.509,0.485,0.94,0.843,16.233,4302.0,Electric,2019,SIMMAN,Calculated from geometry,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [587113, 657008, 726902, 796797, 866691, 936586, 1006480]}"
OTH_0087,Other,145.69,46.59,11.94,20.15,51058.4,0.7,0.762,0.944,0.648,4.537,44248.0,Gas Turbine,1989,MARIN paper,Model tests,None,
FIS_0088,Fishing,19.82,10.46,1.67,4.21,176.1,0.565,0.599,0.997,0.629,7.172,390.0,Hybrid,2007,Open dataset,Model tests,IGES,
OTH_0089,Other,202.51,19.47,10.3,7.07,17361.4,0.475,0.438,0.985,0.71,8.525,50479.0,Diesel,1981,DSYHS (Delft),Calculated from geometry,IGES,
FIS_0090,Fishing,48.98,6.22,3.18,3.7,535.4,0.614,0.608,0.94,0.853,7.446,75.0,Hybrid,1976,Open dataset,Calculated from geometry,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [22486, 25163, 27840, 30517, 33194, 35871, 38548]}"
FER_0091,Ferry,158.56,27.07,7.48,10.99,16845.9,0.583,0.609,0.871,0.712,12.147,5617.0,Diesel-electric,1995,MARIN paper,Model tests,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [707527, 791757, 875986, 960216, 1044445, 1128675, 1212904]}"
FIS_0092,Fishing,39.48,15.08,5.16,6.02,2162.1,0.782,0.828,0.953,0.768,7.439,429.0,Diesel,1993,Public spec,Estimated,Parametric (NURBS),
CRU_0093,Cruise ship,221.76,52.65,7.48,35.0,40243.5,0.512,0.5,0.968,0.762,10.371,23466.0,Diesel,2003,Open dataset,Estimated,STL,
TAN_0094,Tanker,283.34,27.4,11.07,27.32,54143.5,0.7,0.767,0.958,0.614,6.269,326617.0,Hybrid,1998,Public spec,Calculated from geometry,Parametric (NURBS),
FIS_0095,Fishing,30.55,17.52,5.03,7.42,1279.4,0.528,0.566,0.936,0.741,8.074,780.0,Hybrid,2002,SIMMAN,Design spec,Parametric (NURBS),
OTH_0096,Other,58.75,16.25,13.36,26.6,7714.0,0.672,0.635,0.977,0.872,5.875,76323.0,Nuclear,1987,MARIN paper,Design spec,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [323988, 362558, 401127, 439698, 478267, 516838, 555408]}"
BUL_0097,Bulk carrier,318.75,28.44,15.22,17.69,57245.0,0.461,0.418,0.925,0.675,7.703,156215.0,Gas Turbine,1971,ShipD (MIT),Estimated,Parametric (NURBS),
